id,xmid,ymid,radius,ubulk,HtAvg
180,7.125e-05,0.000201350906379882,2.5e-06,8.73635672350996e-05,0.0530886912418253
181,7.125e-05,0.000214341287436649,2.5e-06,9.70004337365073e-06,0
182,7.125e-05,0.000227331668493415,2.5e-06,6.2989625852218e-05,0.233776517573652
183,7.125e-05,0.000240322049550182,2.5e-06,-2.05072114175497e-05,0.0414464343905478
184,7.125e-05,0.000253312430606948,2.5e-06,3.65968989365492e-05,0.604000285444275
185,9.375e-05,6.49519052838329e-06,2.5e-06,0.000131293582977073,0.0502945495975186
186,9.375e-05,1.94855715851499e-05,2.5e-06,-4.5612815215414e-05,0
187,9.375e-05,3.24759526419164e-05,2.5e-06,9.80759350260329e-05,0.309218341969931
188,9.375e-05,4.5466333698683e-05,2.5e-06,-8.39361712792032e-06,0.81262952821917
189,9.375e-05,5.84567147554496e-05,2.5e-06,8.36146449291904e-05,0.860595626446434
190,9.375e-05,7.14470958122162e-05,2.5e-06,1.75005801645215e-05,0.795864678353331
191,9.375e-05,8.44374768689828e-05,2.5e-06,8.50544526405859e-05,0.675716587648147
192,9.375e-05,9.74278579257494e-05,2.5e-06,3.02830920029727e-05,0.429832122949166
193,9.375e-05,0.000110418238982516,2.5e-06,0.000135159945904496,0.16112883482168
194,9.375e-05,0.000123408620039283,2.5e-06,5.81521941267586e-05,0.00745104438481757
195,9.375e-05,0.000136399001096049,2.5e-06,0.000145054043332959,0.00419121246645989
196,9.375e-05,0.000149389382152816,2.5e-06,4.73188801940068e-05,0
197,9.375e-05,0.000162379763209582,2.5e-06,0.00013280597150626,0
198,9.375e-05,0.000175370144266349,2.5e-06,3.41851893507676e-05,0
199,9.375e-05,0.000188360525323115,2.5e-06,0.00012461766711134,0
200,9.375e-05,0.000201350906379882,2.5e-06,1.81148563363479e-05,0
201,9.375e-05,0.000214341287436649,2.5e-06,9.57783801977956e-05,0.0484317885013143
202,9.375e-05,0.000227331668493415,2.5e-06,-2.11519499901646e-05,0
203,9.375e-05,0.000240322049550182,2.5e-06,6.23448872796002e-05,0.255663960454054
204,9.375e-05,0.000253312430606948,2.5e-06,-3.65968989365494e-05,0.600274763251867
205,0.00011625,6.49519052838329e-06,2.5e-06,-8.42636236982604e-05,0.00512259301456208
206,0.00011625,1.94855715851499e-05,2.5e-06,9.26427744942268e-05,0.065662328641205
207,0.00011625,3.24759526419164e-05,2.5e-06,-1.64017723164564e-05,0
208,0.00011625,4.5466333698683e-05,2.5e-06,9.00677798374976e-05,0.413067273083326
209,0.00011625,5.84567147554496e-05,2.5e-06,1.05166972899346e-05,0
210,0.00011625,7.14470958122162e-05,2.5e-06,7.6630762054606e-05,0.73625632327479
211,0.00011625,8.44374768689828e-05,2.5e-06,2.39167346657546e-05,0.386522927462413
212,0.00011625,9.74278579257494e-05,2.5e-06,7.86880953033668e-05,0.707849216557673
213,0.00011625,0.000110418238982516,2.5e-06,3.193185676866e-05,0.417724175823837
214,0.00011625,0.000123408620039283,2.5e-06,0.000108939608546394,0.319463527999054
215,0.00011625,0.000136399001096049,2.5e-06,4.19082269703373e-05,0.0828928687810955
216,0.00011625,0.000149389382152816,2.5e-06,0.000139643390109291,0.0316669386354747
217,0.00011625,0.000162379763209582,2.5e-06,4.13670806075168e-05,0
218,0.00011625,0.000175370144266349,2.5e-06,0.000139987862763009,0
219,0.00011625,0.000188360525323115,2.5e-06,2.66970223185976e-05,0
220,0.00011625,0.000201350906379882,2.5e-06,0.000133199833093589,0
221,0.00011625,0.000214341287436649,2.5e-06,-8.87907714647775e-06,0
222,0.00011625,0.000227331668493415,2.5e-06,0.000108051253041484,0.0451719565829566
223,0.00011625,0.000240322049550182,2.5e-06,-3.04592320112641e-05,0.0619368064487963
224,0.00011625,0.000253312430606948,2.5e-06,6.84825542048875e-05,0.582578532837924
225,0.00013875,6.49519052838329e-06,2.5e-06,8.42636236982629e-05,0.00558828328861318
226,0.00013875,1.94855715851499e-05,2.5e-06,-2.2147522345082e-05,0
227,0.00013875,3.24759526419164e-05,2.5e-06,8.68970244656003e-05,0.0647309480931028
228,0.00013875,4.5466333698683e-05,2.5e-06,-4.67710202326672e-06,0
229,0.00013875,5.84567147554496e-05,2.5e-06,7.48739805242953e-05,0.481058053094787
230,0.00013875,7.14470958122162e-05,2.5e-06,2.408215027656e-05,0.0856870104254024
231,0.00013875,8.44374768689828e-05,2.5e-06,7.6796177665411e-05,0.634270153257599
232,0.00013875,9.74278579257494e-05,2.5e-06,3.03909839290473e-05,0.314806625258544
233,0.00013875,0.000110418238982516,2.5e-06,7.7147222463753e-05,0.673388136277891
234,0.00013875,0.000123408620039283,2.5e-06,2.76073355358339e-05,0.427037981304859
235,0.00013875,0.000136399001096049,2.5e-06,9.46387171118908e-05,0.491768929397962
236,0.00013875,0.000149389382152816,2.5e-06,4.31680353349031e-05,0.221202880174273
237,0.00013875,0.000162379763209582,2.5e-06,0.000141444344836679,0.10990290467606
238,0.00013875,0.000175370144266349,2.5e-06,5.49251294764833e-05,0
239,0.00013875,0.000188360525323115,2.5e-06,0.000168215969920895,0
240,0.00013875,0.000201350906379882,2.5e-06,2.0468955286949e-05,0
241,0.00013875,0.000214341287436649,2.5e-06,0.000162547865527018,0
242,0.00013875,0.000227331668493415,2.5e-06,-3.82518496852916e-05,0
